NUM,ACH1,ACH2,ACH3,ACH4,ACH5,ACH6,ACH7,ACH8,ACH9,ACH10,ACH11,ACH12,ACH13,ACH14,ACH15,ACH16,ACH17,ACH18,ACH19,ACH20,ACH21,ACH22,ACH23,ACH24,ACH25,ACH26,ACH27,ACH28,ACH29,ACH30
906,10646,5314,9650,3722,-3209,-628,-7,-4,-7,1477,-3879,2445,3749,-3225,-628,0,140,0,10418,5,8762,-25,8820,-38,5,2,0,-7,4698,4698
907,10639,5314,9650,3982,-2311,-1862,0,0,-4,1471,-3885,2445,4014,-2322,-1862,0,84,0,10422,5,8759,-49,8817,-50,-6,1,0,-6,4698,4698
908,10639,5312,9650,3879,-1148,-2863,-4,0,-2,1466,-3890,2434,3917,-1158,-2874,0,37,0,10418,5,8762,-37,8820,-38,0,3,0,-11,4698,4698
909,10639,5312,9650,3398,178,-3593,-4,-7,-9,1471,-3879,2440,3430,151,-3615,0,-29,0,10422,5,8765,-37,8817,-50,5,1,0,-8,4698,4698
910,10639,5314,9650,2575,1417,-3988,-2,-2,-4,1471,-3885,2434,2613,1401,-4021,0,-99,0,10425,5,8759,-37,8817,-62,0,2,0,-7,4698,4698
911,10636,5310,9650,1487,2510,-4015,2,-2,-2,1471,-3879,2434,1525,2505,-4042,0,-141,0,10425,5,8762,-37,8820,-38,5,3,0,-11,4698,4698
912,10636,5308,9650,43,3414,-3583,-4,-4,-4,1477,-3885,2440,81,3414,-3610,0,-188,0,10428,5,8762,-37,8820,-50,0,3,0,-6,4698,4698
913,10636,5308,9650,-1077,3847,-2933,-4,-9,-2,1477,-3885,2434,-1056,3852,-2960,0,-305,0,10428,5,8759,-49,8817,-50,0,0,0,-3,4698,4698
914,10636,5310,9650,-2219,3998,-1927,-4,-9,-2,1466,-3890,2434,-2203,4014,-1965,0,-230,0,10428,5,8765,-37,8820,-25,0,2,0,0,4698,4698
915,10632,5310,9650,-3155,3771,-699,-11,-11,-9,1471,-3885,2445,-3139,3787,-731,0,-169,0,10434,5,8765,-37,8820,-50,0,1,0,3,4698,4698
916,10629,5306,9650,-3777,3181,600,-4,-2,-2,1477,-3885,2434,-3772,3192,573,0,-136,0,10438,5,8755,-49,8817,-62,0,1,0,3,4698,4698
917,10629,5308,9650,-4042,2272,1823,-2,-7,-4,1466,-3890,2440,-4048,2283,1791,0,-104,0,10431,5,8762,-37,8820,-50,0,2,0,11,4698,4698
918,10629,5308,9650,-3929,1114,2829,-4,-9,-7,1471,-3874,2440,-3940,1130,2813,0,-47,0,10438,5,8759,-37,8820,-62,0,0,0,11,4698,4698
919,10626,5306,9650,-3447,-217,3554,-4,-4,-7,1471,-3879,2440,-3458,-184,3554,0,14,0,10438,5,8759,-37,8817,-50,5,2,0,13,4698,4698
920,10622,5306,9650,-2630,-1478,3949,-2,-4,-4,1477,-3885,2434,-2646,-1456,3960,0,93,0,10438,5,8759,-37,8820,-50,0,2,0,9,4698,4698
921,10626,5304,9650,-1543,-2565,3960,-9,-7,-4,1471,-3879,2440,-1553,-2549,3966,0,126,0,10444,5,8765,-25,8817,-38,0,2,0,7,4698,4698
922,10622,5304,9650,-271,-3404,3592,-2,0,-2,1471,-3879,2434,-282,-3393,3603,0,168,0,10447,5,8759,-62,8817,-62,0,1,0,11,4698,4698
923,10622,5304,9650,1006,-3918,2884,0,4,-4,1466,-3885,2434,1006,-3918,2894,0,299,0,10441,5,8762,-37,8820,-38,0,2,0,6,4698,4698
924,10622,5304,9650,2164,-4064,1882,-4,0,-9,1471,-3879,2440,2169,-4069,1893,0,220,0,10444,5,8759,-37,8817,-62,-12,1,0,3,4698,4698
925,10619,5302,9650,3100,-3821,660,0,2,-4,1471,-3879,2440,3111,-3831,660,0,168,0,10447,5,8759,-37,8817,-50,-6,2,0,3,4698,4698
926,10616,5304,9650,3733,-3215,-623,2,-2,-4,1466,-3879,2434,3749,-3225,-628,0,135,0,10444,5,8759,-25,8820,-38,11,2,0,-7,4698,4698
927,10616,5304,9650,3993,-2311,-1856,-2,-4,-4,1471,-3879,2440,4020,-2322,-1862,0,88,0,10451,5,8762,-49,8820,-50,0,1,0,-6,4698,4698
928,10612,5300,9650,3879,-1153,-2863,-2,-4,-2,1471,-3890,2429,3906,-1169,-2879,0,37,0,10451,5,8759,-37,8817,-62,-6,2,0,-3,4698,4698
929,10616,5302,9650,3398,178,-3593,-7,-7,-2,1466,-3885,2434,3430,151,-3615,0,-29,0,10451,5,8762,-37,8820,-38,11,2,0,-11,4698,4698
930,10619,5302,9650,2575,1423,-3988,-7,-11,-7,1471,-3879,2440,2613,1406,-4021,0,-99,0,10454,5,8759,-37,8817,-50,0,2,0,-7,4698,4698
931,10612,5300,9650,1482,2510,-4010,-4,-11,-4,1471,-3874,2434,1520,2505,-4042,0,-141,0,10454,5,8759,-37,8817,-62,5,3,0,-11,4698,4698
932,10616,5300,9650,216,3354,-3642,-14,-11,-9,1477,-3879,2440,243,3349,-3674,0,-169,0,10454,5,8762,-37,8820,-38,11,2,0,-7,4698,4698
933,10612,5300,9650,-1077,3857,-2928,-7,-11,-9,1477,-3879,2445,-1050,3863,-2966,0,-305,0,10457,5,8762,-37,8817,-50,0,2,0,0,4698,4698
934,10609,5296,9650,-2224,4009,-1927,-4,-9,-4,1466,-3885,2429,-2203,4014,-1965,0,-235,0,10454,5,8759,-37,8817,-50,-6,2,0,-7,4698,4698
935,10609,5296,9650,-3150,3771,-693,-4,-7,-4,1460,-3885,2434,-3144,3787,-731,0,-169,0,10457,5,8762,-37,8820,-50,0,2,0,2,4698,4698
936,10606,5296,9650,-3772,3176,600,-9,-9,-7,1471,-3879,2434,-3772,3197,573,0,-136,0,10460,5,8759,-37,8820,-62,5,2,0,3,4698,4698
937,10602,5296,9650,-4037,2256,1823,0,-7,-2,1471,-3879,2434,-4053,2277,1796,0,-99,0,10460,5,8759,-49,8820,-50,5,1,0,7,4698,4698
938,10602,5294,9650,-3923,1109,2846,-2,-2,-9,1460,-3890,2434,-3940,1130,2819,0,-47,0,10460,5,8762,-37,8820,-50,5,2,0,12,4698,4698
939,10602,5294,9650,-3453,-212,3554,-7,-4,-7,1471,-3879,2434,-3463,-190,3544,0,14,0,10467,5,8762,-37,8817,-62,5,2,0,11,4698,4698
940,10602,5294,9650,-2641,-1467,3944,-7,0,-4,1471,-3885,2429,-2646,-1456,3944,0,93,0,10467,5,8759,-37,8817,-50,0,2,0,16,4698,4698
941,10599,5294,9650,-1548,-2549,3955,-4,0,-4,1471,-3879,2424,-1402,-2668,3944,0,135,0,10470,5,8755,-49,8817,-62,-6,0,0,8,4698,4698
942,10602,5294,9650,-271,-3388,3592,-2,0,-7,1471,-3879,2440,-282,-3399,3603,0,163,0,10470,5,8759,-37,8817,-50,0,1,0,9,4698,4698
943,10596,5290,9650,1001,-3918,2878,0,2,-2,1471,-3885,2429,1001,-3918,2884,0,299,0,10470,5,8752,-49,8817,-62,-6,2,0,8,4698,4698
944,10602,5294,9650,2164,-4059,1882,-7,-2,-7,1477,-3879,2440,2175,-4069,1893,0,220,0,10470,5,8762,-37,8820,-38,0,2,0,1,4698,4698
945,10596,5290,9650,3095,-3810,649,-4,-4,-7,1471,-3879,2440,3111,-3831,665,0,163,0,10476,5,8759,-49,8820,-62,0,1,0,-1,4698,4698
946,10596,5290,9650,3717,-3204,-628,2,0,-4,1466,-3879,2434,3749,-3231,-628,0,135,0,10473,5,8759,-49,8817,-50,5,2,0,-3,4698,4698
947,10599,5292,9650,3987,-2295,-1856,-4,-4,-9,1471,-3879,2434,4025,-2322,-1862,0,88,0,10476,5,8762,-25,8820,-38,0,1,0,-13,4698,4698
948,10592,5292,9650,3874,-1142,-2868,-4,-7,-7,1482,-3874,2445,3912,-1169,-2879,0,37,0,10480,5,8759,-37,8817,-50,0,1,0,-9,4698,4698
949,10589,5288,9650,3398,173,-3588,0,-2,-4,1466,-3879,2434,3430,151,-3620,0,-29,0,10476,5,8762,-37,8817,-38,0,2,0,-11,4698,4698
950,10592,5290,9650,2580,1412,-3988,-4,-9,-7,1466,-3879,2434,2613,1412,-4015,0,-104,0,10480,5,8762,-37,8820,-50,5,3,0,-10,4698,4698
951,10589,5290,9650,1487,2489,-4010,-4,-4,-7,1466,-3879,2434,1515,2499,-4042,0,-141,0,10486,5,8759,-37,8817,-62,5,1,0,-6,4698,4698
952,10589,5290,9650,221,3343,-3637,-9,-4,-4,1471,-3879,2429,243,3343,-3674,0,-164,0,10480,5,8762,-49,8817,-50,5,1,0,-9,4698,4698
